date,tier,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
2024-02-24,tier_1_top_1pct,8,2,318551.09439,318551.09439,0.0,318551.09439
2024-02-24,tier_2_top_5pct,1,1,19700.0,19700.0,0.0,19700.0
2024-02-24,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-24,tier_4_observed_baseline,1,1,24566.38038,24566.38038,0.0,24566.38038
2024-02-25,tier_1_top_1pct,8,2,380182.046159,380182.046159,0.0,380182.046159
2024-02-25,tier_2_top_5pct,3,3,39223.1558,39223.1558,0.0,39223.1558
2024-02-25,tier_3_top_10pct,1,1,12387.6,12387.6,0.0,12387.6
2024-02-25,tier_4_observed_baseline,5,4,81181.85372,81181.85372,0.0,81181.85372
2024-02-26,tier_1_top_1pct,4,2,160861.75308,160861.75308,0.0,160861.75308
2024-02-26,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-26,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-26,tier_4_observed_baseline,3,2,40613.35222,40613.35222,0.0,40613.35222
2024-02-27,tier_1_top_1pct,8,1,263344.680454,263344.680454,0.0,263344.680454
2024-02-27,tier_2_top_5pct,1,1,18561.4418,18561.4418,0.0,18561.4418
2024-02-27,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-27,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-02-28,tier_1_top_1pct,7,2,109206.206619,109206.206619,0.0,109206.206619
2024-02-28,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-28,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-28,tier_4_observed_baseline,1,1,12300.0,12300.0,0.0,12300.0
2024-02-29,tier_1_top_1pct,3,2,47208.444,47208.444,0.0,47208.444
2024-02-29,tier_2_top_5pct,1,1,13972.0,13972.0,0.0,13972.0
2024-02-29,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-29,tier_4_observed_baseline,2,2,29511.36636,29511.36636,0.0,29511.36636
2024-03-01,tier_1_top_1pct,3,1,65396.17678,65396.17678,0.0,65396.17678
2024-03-01,tier_2_top_5pct,1,1,14640.0,14640.0,0.0,14640.0
2024-03-01,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-01,tier_4_observed_baseline,1,1,11318.829,11318.829,0.0,11318.829
2024-03-02,tier_1_top_1pct,15,2,387433.027864,387433.027864,0.0,387433.027864
2024-03-02,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-02,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-02,tier_4_observed_baseline,2,1,60844.78,60844.78,0.0,60844.78
2024-03-03,tier_1_top_1pct,4,1,83057.49872100001,83057.49872100001,0.0,83057.49872100001
2024-03-03,tier_2_top_5pct,1,1,11783.414479,11783.414479,0.0,11783.414479
2024-03-03,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-03,tier_4_observed_baseline,2,2,43492.857142,43492.857142,0.0,43492.857142
2024-03-04,tier_1_top_1pct,8,1,193036.952346,193036.952346,0.0,193036.952346
2024-03-04,tier_2_top_5pct,2,2,97635.28259799999,97635.28259799999,0.0,97635.28259799999
2024-03-04,tier_3_top_10pct,1,1,10924.1586,10924.1586,0.0,10924.1586
2024-03-04,tier_4_observed_baseline,6,5,113156.93319899999,113156.93319899999,0.0,113156.93319899999
2024-03-05,tier_1_top_1pct,10,2,379838.945307,379838.945307,0.0,379838.945307
2024-03-05,tier_2_top_5pct,4,2,247472.7402,247472.7402,0.0,247472.7402
2024-03-05,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-05,tier_4_observed_baseline,1,1,10044.827586,10044.827586,0.0,10044.827586
2024-03-06,tier_1_top_1pct,7,3,430771.796179,430771.796179,0.0,430771.796179
2024-03-06,tier_2_top_5pct,1,1,37640.0,37640.0,0.0,37640.0
2024-03-06,tier_3_top_10pct,3,2,59289.4,59289.4,0.0,59289.4
2024-03-06,tier_4_observed_baseline,3,2,60998.0,60998.0,0.0,60998.0
2024-03-07,tier_1_top_1pct,5,2,116090.99999899999,116090.99999899999,0.0,116090.99999899999
2024-03-07,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-07,tier_3_top_10pct,1,1,11888.235,11888.235,0.0,11888.235
2024-03-07,tier_4_observed_baseline,1,1,11556.0,11556.0,0.0,11556.0
2024-03-08,tier_1_top_1pct,8,2,145788.531519,145788.531519,0.0,145788.531519
2024-03-08,tier_2_top_5pct,3,3,34585.11849,34585.11849,0.0,34585.11849
2024-03-08,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-08,tier_4_observed_baseline,2,2,32947.4386,32947.4386,0.0,32947.4386
2024-03-09,tier_1_top_1pct,4,2,110248.47419800001,110248.47419800001,0.0,110248.47419800001
2024-03-09,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-09,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-09,tier_4_observed_baseline,4,3,76770.16704,76770.16704,0.0,76770.16704
2024-03-10,tier_1_top_1pct,14,2,373199.6982,373199.6982,0.0,373199.6982
2024-03-10,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-10,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-10,tier_4_observed_baseline,2,2,31835.0,31835.0,0.0,31835.0
2024-03-11,tier_1_top_1pct,2,1,29543.684999999998,29543.684999999998,0.0,29543.684999999998
2024-03-11,tier_2_top_5pct,2,2,28728.326266999997,28728.326266999997,0.0,28728.326266999997
2024-03-11,tier_3_top_10pct,1,1,24400.0,24400.0,0.0,24400.0
2024-03-11,tier_4_observed_baseline,5,4,80149.5851,80149.5851,0.0,80149.5851
2024-03-12,tier_1_top_1pct,19,2,553887.738889,553887.738889,0.0,553887.738889
2024-03-12,tier_2_top_5pct,1,1,16250.0,16250.0,0.0,16250.0
2024-03-12,tier_3_top_10pct,1,1,48511.22101,48511.22101,0.0,48511.22101
2024-03-12,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-03-13,tier_1_top_1pct,8,2,161573.080339,161573.080339,0.0,161573.080339
2024-03-13,tier_2_top_5pct,1,1,16250.0,16250.0,0.0,16250.0
2024-03-13,tier_3_top_10pct,1,1,11628.752,11628.752,0.0,11628.752
2024-03-13,tier_4_observed_baseline,2,2,67879.40728,67879.40728,0.0,67879.40728
2024-03-14,tier_1_top_1pct,4,1,57099.565598999994,57099.565598999994,0.0,57099.565598999994
2024-03-14,tier_2_top_5pct,2,2,35774.667871,35774.667871,0.0,35774.667871
2024-03-14,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-14,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-03-15,tier_1_top_1pct,3,2,37149.41952,37149.41952,0.0,37149.41952
2024-03-15,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-15,tier_3_top_10pct,1,1,10399.2012,10399.2012,0.0,10399.2012
2024-03-15,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-03-16,tier_1_top_1pct,5,1,78192.1349,78192.1349,0.0,78192.1349
2024-03-16,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-16,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-16,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-03-17,tier_1_top_1pct,1,1,48823.79823,48823.79823,0.0,48823.79823
2024-03-17,tier_2_top_5pct,1,1,54670.0,54670.0,0.0,54670.0
2024-03-17,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-17,tier_4_observed_baseline,1,1,18050.0,18050.0,0.0,18050.0
2024-03-18,tier_1_top_1pct,8,1,128981.3072,128981.3072,0.0,128981.3072
2024-03-18,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-18,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-18,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-03-19,tier_1_top_1pct,5,3,88989.75164,88989.75164,0.0,88989.75164
2024-03-19,tier_2_top_5pct,1,1,22287.302333,22287.302333,0.0,22287.302333
2024-03-19,tier_3_top_10pct,1,1,10868.0,10868.0,0.0,10868.0
2024-03-19,tier_4_observed_baseline,1,1,10890.0,10890.0,0.0,10890.0
2024-03-20,tier_1_top_1pct,4,1,59753.086811,59753.086811,0.0,59753.086811
2024-03-20,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-20,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-20,tier_4_observed_baseline,3,2,53165.665333,53165.665333,0.0,53165.665333
2024-03-21,tier_1_top_1pct,15,1,429195.281566,429195.281566,0.0,429195.281566
2024-03-21,tier_2_top_5pct,2,2,40285.44,40285.44,0.0,40285.44
2024-03-21,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-03-21,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-03-22,tier_1_top_1pct,1,1,10495.785,10495.785,0.0,10495.785
2024-03-22,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-03-22,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
