observed_at_utc,poll_id,poll_published_at_utc,window_start_utc,window_end_utc,token_id,yes_probability,source_name,source_url
2026-05-04T10:00:06Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.395,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T11:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.39,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T12:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.39,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T13:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.395,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T14:00:05Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.4,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T15:00:07Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T16:00:04Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.385,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T17:00:07Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.365,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T18:00:07Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.355,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-05-04T19:00:08Z,yougov_2026_w1,2026-05-05T00:00:00Z,2026-05-04T00:00:00Z,2026-05-07T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
